Name;RF;XGB;Mean;SD;CV
ZINC000011679756;7.372397265;6.5556407;6.964018983;0.408378283;0.058641179
ZINC000011680943;6.05920099;5.898054;5.978627495;0.080573495;0.013476922
ZINC000011681563;7.160489176;6.57278;6.866634588;0.293854588;0.042794557
ZINC000000000973;5.399055442;5.1975617;5.298308571;0.100746871;0.019014912
ZINC000000002272;5.813892714;5.2439833;5.528938007;0.284954707;0.051538778
ZINC000000002279;6.039896632;5.5918417;5.815869166;0.224027466;0.038520032
ZINC000011615926;6.304381842;5.7266417;6.015511771;0.288870071;0.048020864
ZINC000011677857;5.970355529;5.643278;5.806816765;0.163538765;0.028163238
ZINC000011615927;6.304381842;5.7266417;6.015511771;0.288870071;0.048020864
ZINC000011615928;6.304381842;5.7266417;6.015511771;0.288870071;0.048020864
ZINC000011617039;5.658281825;5.628673;5.643477413;0.014804413;0.002623278
ZINC000011677837;6.028158434;5.649293;5.838725717;0.189432717;0.032444188
ZINC000034806477;7.998269626;6.848313;7.423291313;0.574978313;0.077455981
ZINC000256433948;6.794689559;5.865102;6.32989578;0.46479378;0.073428346
